trace,Num. PREGS,ROB entries,Num. SchedQ entries per FU,Num. ALU FUs,Num. MUL FUs,Num. LSU FUs,Fetch width,Dispatch width,P,H,Predictor (M),Cycles,Trace instructions,Fetched instructions,Retired instructions,Total branch instructions,Branch Mispredictions,I-cache misses,D-cache misses,Cycles with no fires,No dispatch cycles due to ROB,No dispatch cycles due to PRegs,Max DispQ usage,Average DispQ usage,Max SchedQ usage,Average SchedQ usage,Max ROB usage,Average ROB usage,IPC,branch_pattern_table_size,reservation_station_size,resource_utilization
deepsjeng531,32,64,4,3,3,2,8,8,16,16,GSPLIT,1498978,2000000,11493222,2000000,171719,52330,1023,12840,556104,0,587942,348,19.103,32,9.998,53,16.438,1.334,16,32,453.0
deepsjeng531,64,96,4,3,3,2,8,8,16,16,GSPLIT,1456951,2000000,11157174,2000000,171719,52327,1023,12840,540458,0,46653,301,10.522,32,15.027,81,24.404,1.373,16,32,677.0
deepsjeng531,128,160,4,3,3,2,8,8,16,16,GSPLIT,1455584,2000000,11146238,2000000,171719,52327,1023,12840,539130,0,0,301,10.105,32,15.264,101,24.772,1.374,16,32,1125.0
deepsjeng531,32,64,6,1,1,1,2,2,16,16,GSPLIT,2196609,2000000,4274789,2000000,171719,49100,1023,12840,577362,0,371472,204,11.558,18,9.733,39,12.868,0.91,16,18,402.0
deepsjeng531,64,96,6,1,1,1,2,2,16,16,GSPLIT,2167872,2000000,4217341,2000000,171719,49087,1023,12840,560593,0,625,190,9.353,18,11.148,57,14.968,0.923,16,18,626.0
deepsjeng531,128,160,6,1,1,1,2,2,16,16,GSPLIT,2167837,2000000,4217271,2000000,171719,49087,1023,12840,560544,0,0,190,9.352,18,11.149,57,14.97,0.923,16,18,1074.0
deepsjeng531,32,64,6,1,1,1,4,4,16,16,GSPLIT,2195785,2000000,8535276,2000000,171719,51914,1023,12840,582882,0,433381,338,19.543,18,10.986,39,14.234,0.911,16,18,406.0
deepsjeng531,64,96,6,1,1,1,4,4,16,16,GSPLIT,2169222,2000000,8429016,2000000,171719,51916,1023,12840,566703,0,646,338,17.585,18,12.328,57,16.233,0.922,16,18,630.0
deepsjeng531,128,160,6,1,1,1,4,4,16,16,GSPLIT,2169194,2000000,8428904,2000000,171719,51916,1023,12840,566668,0,0,338,17.583,18,12.329,57,16.235,0.922,16,18,1078.0
deepsjeng531,32,64,6,1,1,1,8,8,16,16,GSPLIT,2195492,2000000,17065545,2000000,171719,52234,1023,12840,582529,0,440636,408,24.251,18,11.379,39,14.65,0.911,16,18,414.0
deepsjeng531,64,96,6,1,1,1,8,8,16,16,GSPLIT,2168648,2000000,16850793,2000000,171719,52234,1023,12840,566075,0,722,408,22.361,18,12.699,57,16.619,0.922,16,18,638.0
deepsjeng531,128,160,6,1,1,1,8,8,16,16,GSPLIT,2168620,2000000,16850569,2000000,171719,52234,1023,12840,566040,0,0,408,22.36,18,12.7,57,16.621,0.922,16,18,1086.0
deepsjeng531,32,64,6,1,1,2,2,2,16,16,GSPLIT,2035670,2000000,3953003,2000000,171719,49053,1023,12840,458164,0,405686,198,9.962,24,9.718,44,12.828,0.982,16,24,415.0
deepsjeng531,64,96,6,1,1,2,2,2,16,16,GSPLIT,2001048,2000000,3883773,2000000,171719,49047,1023,12840,435418,0,11069,180,6.599,24,12.06,70,16.007,0.999,16,24,639.0
deepsjeng531,128,160,6,1,1,2,2,2,16,16,GSPLIT,2000433,2000000,3882543,2000000,171719,49047,1023,12840,434837,0,0,180,6.543,24,12.091,92,16.064,1.0,16,24,1087.0
deepsjeng531,32,64,6,1,1,2,4,4,16,16,GSPLIT,2026186,2000000,7857917,2000000,171719,51656,1023,12840,462491,0,577062,334,17.761,24,11.966,44,15.253,0.987,16,24,419.0
deepsjeng531,64,96,6,1,1,2,4,4,16,16,GSPLIT,1994496,2000000,7731157,2000000,171719,51656,1023,12840,440005,0,10501,330,14.377,24,14.52,70,18.657,1.003,16,24,643.0
deepsjeng531,128,160,6,1,1,2,4,4,16,16,GSPLIT,1993953,2000000,7728985,2000000,171719,51656,1023,12840,439443,0,0,330,14.323,24,14.55,110,18.713,1.003,16,24,1091.0
deepsjeng531,32,64,6,1,1,2,8,8,16,16,GSPLIT,2028507,2000000,15729170,2000000,171719,52296,1023,12840,464761,0,586200,408,22.254,24,12.713,44,16.053,0.986,16,24,427.0
deepsjeng531,64,96,6,1,1,2,8,8,16,16,GSPLIT,1996866,2000000,15476042,2000000,171719,52296,1023,12840,442808,0,10647,401,19.047,24,15.177,70,19.306,1.002,16,24,651.0
deepsjeng531,128,160,6,1,1,2,8,8,16,16,GSPLIT,1996416,2000000,15472442,2000000,171719,52296,1023,12840,442357,0,0,401,19.0,24,15.206,92,19.355,1.002,16,24,1099.0
